Date,Open,High,Low,Close,Adj Close,Volume
2019-05-10,358.073944,364.984161,349.279144,352.420166,266.039703,11676233
2019-05-13,353.676544,354.932953,326.035767,326.035767,246.122284,11717915
2019-05-14,314.728149,329.804962,311.587158,324.151154,244.699615,12301786
2019-05-15,326.663971,331.689545,324.779358,325.407562,245.648071,5810261
2019-05-16,325.407562,327.292145,309.702545,312.843567,236.163574,8411308
2019-05-17,315.984558,319.125549,310.958954,313.471771,236.637817,7713428
2019-05-20,318.497345,321.010162,313.471771,315.984558,238.534698,4184312
2019-05-21,314.099945,324.151154,311.587158,324.151154,244.699615,5795857
2019-05-22,326.663971,328.548553,318.497345,318.497345,240.431580,4552666
2019-05-23,311.587158,312.843567,302.164154,307.189758,231.895584,8484958
2019-05-24,308.446167,311.587158,304.048767,304.048767,229.524429,3867338
2019-05-27,307.817963,309.702545,303.420563,307.817963,232.369781,3295774
2019-05-28,310.330750,310.958954,305.933350,308.446167,232.844040,2994308
2019-05-29,305.305145,320.381958,304.676971,320.381958,241.854263,7337227
2019-05-30,321.638367,324.779358,315.356354,315.356354,238.060471,5952948
2019-05-31,315.356354,327.920349,314.728149,327.920349,247.544968,6355913
2019-06-03,327.292145,331.689545,322.894745,329.176758,248.493408,5288712
2019-06-04,330.433167,335.458740,329.804962,331.061340,249.916061,5045811
2019-06-05,336.715149,340.484344,319.125549,321.638367,242.802750,10747538
2019-06-06,320.381958,320.381958,307.817963,307.817963,232.369781,7586315
2019-06-10,314.099945,315.984558,310.958954,315.356354,238.060471,4444692
